year,age,sex,education,health,wage
2006,35,1. Male,2. HS Grad,2. >=Very Good,127.115743812184
2005,50,1. Male,2. HS Grad,1. <=Good,95.23071256698191
2004,34,1. Male,3. Some College,2. >=Very Good,81.2832532842527
2009,48,1. Male,2. HS Grad,2. >=Very Good,102.87024693321501
2004,49,1. Male,5. Advanced Degree,1. <=Good,111.72084936098899
2009,41,1. Male,4. College Grad,2. >=Very Good,94.0727147457005
2004,37,1. Male,4. College Grad,2. >=Very Good,127.115743812184
2003,58,1. Male,3. Some College,2. >=Very Good,104.921506533664
2006,28,1. Male,2. HS Grad,1. <=Good,68.111994065327
2003,33,1. Male,2. HS Grad,2. >=Very Good,128.680488220624
2003,50,1. Male,3. Some College,2. >=Very Good,143.92735936583
2009,38,1. Male,2. HS Grad,2. >=Very Good,103.90247060316
2003,48,1. Male,2. HS Grad,2. >=Very Good,91.69922611170419
2008,30,1. Male,3. Some College,2. >=Very Good,95.23071256698191
2006,49,1. Male,5. Advanced Degree,2. >=Very Good,138.299126920883
2005,44,1. Male,4. College Grad,2. >=Very Good,118.55677641507
2009,50,1. Male,2. HS Grad,2. >=Very Good,94.0727147457005
2009,58,1. Male,4. College Grad,1. <=Good,114.475713290347
2004,45,1. Male,4. College Grad,2. >=Very Good,150.01328628271003
2005,44,1. Male,3. Some College,2. >=Very Good,97.49329404539341
2005,35,1. Male,4. College Grad,1. <=Good,90.48191335664009
2005,59,1. Male,2. HS Grad,2. >=Very Good,81.2832532842527
2009,45,1. Male,2. HS Grad,2. >=Very Good,130.982177377461
2004,51,1. Male,4. College Grad,1. <=Good,150.962783462143
2006,61,1. Male,3. Some College,2. >=Very Good,130.982177377461
2008,45,1. Male,2. HS Grad,2. >=Very Good,145.143601176911
2003,34,1. Male,4. College Grad,2. >=Very Good,90.48191335664009
2007,33,1. Male,4. College Grad,1. <=Good,113.56708956975099
2005,45,1. Male,2. HS Grad,1. <=Good,87.98103278560541
2009,50,1. Male,5. Advanced Degree,1. <=Good,157.700527725737
2006,50,1. Male,2. HS Grad,2. >=Very Good,109.833985642199
2005,39,1. Male,3. Some College,1. <=Good,84.0459576539924
2009,26,1. Male,4. College Grad,2. >=Very Good,160.643638171791
2007,49,1. Male,2. HS Grad,1. <=Good,47.905567037027105
2003,20,1. Male,2. HS Grad,2. >=Very Good,59.097064081589096
2003,31,1. Male,4. College Grad,2. >=Very Good,81.2832532842527
2007,49,1. Male,2. HS Grad,1. <=Good,87.98103278560541
2007,56,1. Male,2. HS Grad,1. <=Good,87.98103278560541
2005,61,1. Male,4. College Grad,2. >=Very Good,143.808556824369
2005,56,1. Male,2. HS Grad,1. <=Good,110.782650276254
2009,51,1. Male,4. College Grad,2. >=Very Good,118.884359339886
2004,42,1. Male,1. < HS Grad,2. >=Very Good,120.589436530402
2004,45,1. Male,4. College Grad,2. >=Very Good,272.294783220064
2006,30,1. Male,5. Advanced Degree,2. >=Very Good,105.37589266027099
2005,48,1. Male,4. College Grad,1. <=Good,69.0108766220885
2009,33,1. Male,5. Advanced Degree,1. <=Good,87.98103278560541
2007,50,1. Male,3. Some College,2. >=Very Good,89.2428846644714
2003,31,1. Male,5. Advanced Degree,2. >=Very Good,171.765132627508
2003,48,1. Male,4. College Grad,1. <=Good,133.232350826567
2005,35,1. Male,5. Advanced Degree,2. >=Very Good,200.543262324662
